x,y
602,375
607,371
616,366
627,359
644,353
661,356
678,353
696,359
708,365
716,371
722,375
716,379
707,383
694,388
679,391
662,392
644,391
629,387
617,382
608,379
602,378
608,374
616,369
627,363
644,356
662,360
679,356
697,362
708,369
716,374
721,379
715,383
706,387
694,392
679,396
662,396
645,395
630,391
618,386
609,382
601,378
607,374
616,369
627,363
645,357
663,361
681,357
698,363
709,370
717,375
722,380
716,384
708,388
695,394
680,397
663,398
646,397
630,393
617,387
608,382
601,379
607,374
615,369
627,363
645,357
663,361
681,357
699,363
710,370
719,375
724,380
718,384
709,389
696,394
680,398
663,399
645,397
630,393
617,387
608,383
603,379
609,375
617,370
628,364
646,358
663,361
681,358
699,364
710,370
718,376
724,380
717,384
708,389
696,394
681,398
664,399
647,398
631,393
618,388
610,383
603,378
609,374
618,369
629,363
647,357
665,361
683,357
701,363
712,370
720,375
725,380
719,384
711,388
699,394
683,398
665,399
647,397
631,393
618,387
610,382
604,378
609,374
618,369
630,363
647,358
665,361
683,358
701,364
713,370
721,375
727,380
720,385
711,389
699,395
683,399
666,400
648,398
632,394
619,388
611,383
604,378
610,374
619,369
632,363
649,357
667,361
685,358
702,364
713,370
721,375
726,380
720,384
712,389
700,394
684,398
667,399
649,397
633,393
620,387
611,382
605,378
611,373
620,369
632,363
650,357
668,361
686,357
703,363
715,370
723,375
729,380
722,384
714,388
701,394
685,398
668,398
650,397
634,392
621,386
612,382
605,378
611,373
620,368
632,363
650,357
669,361
687,358
705,363
717,370
725,375
731,380
724,384
715,388
702,393
686,397
668,397
650,396
634,391
620,386
611,382
605,378
612,373
621,368
633,363
651,357
669,361
686,357
704,363
716,370
725,375
730,380
723,384
714,388
701,394
685,397
668,398
651,396
635,392
621,386
612,382
604,378
611,373
620,368
633,362
651,357
669,360
687,357
705,363
717,370
725,375
731,380
724,384
715,389
702,394
686,398
668,398
650,397
634,392
620,386
611,382
605,379
611,374
620,369
632,363
650,356
668,360
687,357
705,363
716,370
725,376
730,382
723,387
714,392
701,399
685,403
667,404
649,403
633,397
620,390
611,384
605,379
611,373
620,368
632,361
651,355
670,358
689,355
707,361
718,368
726,375
730,381
725,389
717,397
704,407
687,413
668,415
648,412
631,405
618,396
610,387
599,378
605,373
615,368
629,362
648,356
668,359
688,356
706,362
718,368
726,374
731,381
725,392
716,404
703,416
685,424
664,426
643,424
625,415
612,402
604,390
595,372
602,368
613,365
626,361
646,356
667,360
688,357
707,362
720,367
729,372
734,377
727,391
717,405
703,419
684,428
662,430
641,426
623,416
609,401
601,387
591,368
598,365
609,362
623,358
644,354
666,358
688,355
709,360
723,365
732,369
737,374
729,388
719,402
704,415
684,424
662,426
639,423
620,413
606,399
597,384
587,365
595,362
606,359
622,356
644,353
667,356
690,354
711,359
725,363
734,367
739,371
731,386
721,401
705,414
685,423
661,425
638,422
618,412
603,397
594,381
585,362
593,359
605,357
621,356
644,354
667,357
690,355
712,358
726,361
737,363
743,366
734,381
723,395
708,408
687,416
663,418
639,415
619,406
603,392
592,377
585,362
593,359
605,357
621,355
644,352
667,356
690,354
712,357
727,361
737,364
743,367
734,381
723,395
707,408
687,416
663,418
639,415
618,406
602,392
592,377
587,366
595,363
607,360
622,357
644,354
667,358
690,355
712,359
726,363
737,366
743,370
734,384
723,398
707,411
687,419
663,421
640,418
620,409
604,395
594,381
591,370
599,367
610,364
624,360
646,356
668,360
691,357
712,362
726,366
735,370
741,374
734,389
724,403
709,417
689,426
665,428
641,425
622,415
607,401
598,386
591,376
599,371
610,367
625,363
646,359
669,363
691,360
711,365
724,369
733,375
738,381
731,396
722,412
707,427
688,437
665,440
641,436
621,426
607,410
597,393
591,377
599,372
610,368
624,365
646,361
669,364
691,362
712,366
725,371
734,376
740,381
733,397
723,413
708,429
689,438
665,441
641,437
622,427
607,411
597,394
593,377
600,372
611,369
625,365
646,362
669,366
692,363
712,367
725,371
734,376
739,381
732,397
722,412
708,427
688,437
664,440
640,436
621,425
607,409
598,393
596,375
603,371
613,368
627,364
648,359
670,363
692,360
712,365
724,370
733,374
737,379
731,392
722,405
708,419
