x,y
720,423
719,427
718,431
718,434
717,445
716,452
716,460
715,468
700,419
700,429
680,419
667,420
684,426
672,425
649,422
652,423
699,424
682,423
669,423
651,422
658,431
654,424
674,427
686,429
701,431
694,465
696,457
698,449
700,443
673,434
670,436
667,440
664,444
665,430
661,430
655,433
685,439
682,443
679,449
677,457
661,424
659,422
657,421
664,425
740,421
737,431
758,424
770,426
752,430
764,430
784,430
780,431
739,426
755,427
767,428
782,431
774,438
761,432
749,432
735,433
735,467
735,459
735,451
734,445
762,442
765,446
767,450
768,436
771,437
776,440
748,442
750,447
752,453
753,461
773,431
776,430
778,428
770,432
717,423
717,428
716,432
716,434
715,452
714,459
714,467
713,476
697,419
698,429
678,420
665,421
682,427
670,426
648,424
652,425
697,424
680,424
668,424
650,424
657,435
654,426
673,428
684,429
699,432
692,472
694,464
696,455
698,450
672,439
669,441
666,445
663,449
664,433
661,434
654,436
684,445
681,449
678,455
676,463
660,425
657,424
655,422
663,427
738,421
735,431
756,424
769,427
751,431
762,431
784,432
780,433
737,427
754,428
766,429
782,432
773,442
760,433
748,433
734,433
734,475
734,466
733,458
732,451
761,447
764,451
766,455
767,439
770,440
776,443
746,448
749,453
751,459
752,467
772,432
775,431
778,429
769,433
714,423
714,427
713,431
713,434
712,455
711,462
710,470
710,479
694,419
695,429
676,420
664,422
680,427
669,427
647,425
651,426
694,424
678,424
666,424
649,426
656,437
653,427
671,428
682,429
697,431
689,475
691,466
693,458
695,452
671,442
668,444
664,447
661,452
663,435
659,436
653,438
682,448
678,452
675,458
673,465
659,426
656,425
654,423
662,427
735,421
733,431
754,424
767,427
749,431
761,431
783,433
779,433
734,426
751,428
764,429
781,433
772,443
758,432
746,432
731,433
731,477
731,469
730,460
729,454
759,449
762,453
764,458
765,441
769,442
775,445
744,451
746,455
748,462
749,470
771,432
774,431
777,430
768,433
713,424
713,429
713,432
713,435
712,454
712,461
711,469
710,478
694,420
695,430
677,421
665,422
681,428
670,427
649,424
653,426
694,426
679,425
667,425
651,425
658,436
655,426
673,429
683,430
697,432
690,474
692,465
694,457
696,452
672,441
669,443
665,446
662,450
665,435
661,435
655,437
683,447
680,451
676,457
674,464
661,426
658,425
656,423
664,428
734,422
732,432
754,425
767,428
749,432
761,432
783,432
779,433
734,428
751,429
764,430
781,433
772,442
758,433
746,434
731,434
731,477
731,468
731,460
730,454
759,448
763,452
765,457
766,441
769,441
775,444
745,450
747,455
749,461
750,469
771,432
774,431
777,430
768,433
715,424
715,429
714,432
714,434
713,449
713,456
712,464
711,473
696,420
696,429
678,421
665,421
682,427
670,426
648,422
652,423
696,425
680,424
668,424
650,423
657,433
654,424
673,427
684,429
698,432
691,469
693,461
695,453
697,447
672,437
669,439
665,442
662,447
664,431
661,432
654,434
683,442
680,446
677,453
675,460
661,425
658,423
656,422
664,426
735,422
734,432
755,425
768,427
750,431
762,431
785,431
781,432
735,428
752,428
765,429
782,431
774,440
759,433
747,433
732,434
732,472
732,463
732,455
731,449
761,445
764,449
766,454
767,438
770,439
776,442
746,446
748,451
750,457
751,465
772,431
775,430
777,429
769,432
715,424
715,428
715,432
715,434
714,446
714,453
713,462
712,470
696,419
697,429
678,420
665,421
682,427
670,426
648,422
652,423
696,425
679,424
667,423
650,423
657,432
654,424
673,427
684,429
698,432
692,467
693,458
696,450
698,444
673,435
669,437
665,441
662,445
665,430
661,431
654,433
684,440
681,444
677,450
675,458
661,424
658,423
656,421
664,426
736,422
734,431
756,424
768,426
750,431
762,431
784,430
780,431
736,427
753,428
765,429
782,431
774,439
759,432
747,433
733,434
733,469
733,461
733,452
732,446
761,442
764,447
767,452
767,436
770,437
777,441
746,443
749,448
751,455
752,463
772,431
775,429
778,428
769,432
715,424
715,428
715,433
714,435
714,446
714,453
713,461
712,470
696,419
697,430
678,420
666,421
682,428
671,426
649,422
653,423
696,425
680,424
668,424
651,423
658,432
655,424
673,428
684,430
698,433
692,466
694,457
696,449
698,443
673,434
670,437
666,441
663,445
665,430
661,430
655,433
684,439
681,444
678,450
676,458
661,425
659,423
656,422
664,426
736,421
734,432
756,424
768,427
750,431
762,431
785,430
781,431
735,427
753,428
766,429
783,431
774,438
760,433
748,434
732,435
733,469
733,460
732,452
732,445
761,442
764,446
766,451
768,436
771,437
777,440
747,443
749,448
750,454
751,462
773,431
776,430
778,429
770,432
717,424
716,429
716,433
716,435
715,445
714,452
714,460
713,469
697,420
698,430
679,420
666,421
683,428
671,426
648,423
652,424
697,425
681,424
668,424
650,424
658,432
654,425
673,428
685,430
699,433
693,466
695,457
696,449
698,443
673,434
670,437
666,441
663,445
664,430
661,431
655,434
684,439
681,443
678,450
676,457
661,425
658,424
656,422
664,427
737,422
735,432
756,424
769,427
751,431
763,431
785,431
781,431
737,427
754,428
766,429
783,431
774,438
760,433
748,434
734,435
733,468
733,459
733,451
732,445
762,442
765,446
766,451
768,436
771,437
777,441
747,442
749,447
751,454
752,462
773,431
776,430
779,429
770,432
717,424
717,428
716,432
716,435
715,450
715,456
714,464
714,473
698,420
698,430
679,421
666,422
683,428
671,427
649,423
653,425
698,425
681,424
669,424
651,424
658,434
655,425
674,429
685,430
699,433
693,469
695,461
697,453
699,447
673,438
670,440
666,443
664,448
665,432
661,433
655,435
685,443
682,447
679,453
677,461
661,426
658,424
656,422
664,427
738,422
735,432
757,424
769,427
751,432
763,432
785,432
781,432
737,427
754,428
766,430
783,432
774,440
760,433
749,434
734,434
734,472
734,463
733,455
732,449
762,445
765,449
767,454
768,438
771,439
777,442
747,446
749,451
751,457
752,465
773,432
776,431
779,429
770,433
717,425
717,429
717,433
716,435
714,459
714,466
713,474
713,483
697,421
698,430
678,422
665,423
682,429
670,428
648,426
652,427
697,426
680,425
668,426
650,427
657,439
654,428
673,429
684,431
699,433
692,479
693,470
695,462
697,456
672,445
669,447
665,450
662,455
664,438
660,438
654,440
683,452
680,456
677,462
675,469
660,427
657,426
655,424
663,429
738,423
736,432
757,426
770,429
752,432
764,433
785,434
781,435
737,428
754,429
767,431
783,435
774,446
761,434
749,434
735,435
734,482
734,473
733,464
732,458
761,452
765,456
767,461
767,444
771,445
777,448
746,455
749,459
751,466
753,474
773,434
776,433
779,432
770,435
720,427
720,432
719,436
719,439
716,466
716,473
715,481
714,490
701,423
700,433
681,423
668,424
685,431
673,430
651,427
655,429
700,428
683,427
671,427
653,428
660,442
657,429
675,432
687,433
701,436
693,486
695,477
697,469
699,463
674,450
671,452
667,455
664,460
667,441
663,441
657,443
686,458
682,462
679,468
676,475
663,429
661,427
658,425
666,430
741,426
738,436
759,429
770,431
753,436
764,436
784,437
780,438
740,431
756,432
767,434
782,438
774,451
761,438
750,438
736,439
735,489
735,480
734,472
733,466
761,458
764,462
767,467
767,449
770,449
776,452
747,462
750,466
752,473
753,481
773,437
776,435
779,434
770,438
722,430
721,434
721,439
720,442
718,469
717,475
716,483
715,492
702,425
702,436
682,426
669,426
686,433
674,431
652,428
656,429
701,431
684,430
671,429
654,428
660,443
657,430
676,434
688,436
702,439
694,487
696,479
698,471
700,466
675,451
672,453
668,456
664,460
667,442
664,442
657,444
686,460
683,463
679,469
677,476
664,430
661,428
659,426
666,432
742,428
739,439
760,431
771,433
754,438
764,438
783,438
779,439
741,434
757,435
768,435
781,438
773,451
761,440
751,440
737,442
736,490
736,482
736,474
734,468
762,459
765,463
767,468
766,450
770,450
776,453
748,464
751,468
753,474
754,482
772,438
775,437
778,435
769,439
722,430
721,435
721,439
720,442
717,470
717,477
716,485
715,493
702,426
701,436
682,426
669,426
686,434
674,432
651,428
655,430
701,431
684,430
671,429
653,429
660,443
657,430
676,434
688,436
702,439
693,488
695,480
697,472
700,466
675,452
671,453
667,457
664,461
667,443
663,442
656,444
686,460
682,464
679,470
676,477
664,430
661,428
659,426
666,432
742,429
739,439
760,431
771,433
754,438
765,438
784,438
780,439
741,434
757,435
768,436
782,438
774,451
762,440
751,441
737,442
736,491
736,483
736,475
734,469
762,460
765,463
768,468
767,450
771,450
777,453
748,464
751,469
753,475
754,482
773,438
776,437
779,435
770,439
722,430
722,435
721,439
720,442
718,470
717,477
716,485
715,493
702,426
702,436
683,426
670,426
687,434
675,432
653,428
657,430
702,431
685,430
672,429
655,429
661,443
659,431
677,434
689,436
703,439
693,489
696,481
698,473
701,467
676,452
672,454
668,457
665,461
668,443
665,443
658,444
687,460
683,464
680,470
677,477
665,430
662,429
660,427
668,432
743,429
740,439
760,431
771,434
754,439
764,438
784,438
779,439
742,434
757,435
768,436
781,439
774,452
761,440
751,441
737,442
736,492
737,483
